"","scaleYear","numCars","propEVS","gasolineConsumptionWithEVs","averageGasolineConsumptionWithEVs","efficiencyWithEVs","totalVMT","propCars","propCarSUV","propTruck","scaledEfficiencyWithEVs","scaledGasolineConsumptionWithEVs","EV_VMT","EV_Efficiency"
"1",0,18092,0,127926052072.543,707.08629268485,20.0799723029061,211021974.034055,0.548585009949149,0.0234910457660845,0.14669467167809,15.2047111986869,168944450760.672,0,NA
"2",1,18512,0,128563693135.338,694.488402848627,20.0756865105846,215230087.213954,0.547266637856526,0.0234982713915298,0.147093777009507,15.2014659634086,169786545997.654,0,NA
"3",2,18876,0,129129939495.57,684.095886287188,20.0810951931585,219168574.059587,0.547414706505616,0.0241046831955923,0.14770078406442,15.2055614599193,170534354428.969,0,NA
"4",3,19243,0,129710284308.306,674.064773207433,20.0890629683308,223005337.972162,0.547523774879177,0.024944135529803,0.149197110637634,15.2115947212486,171300781861.467,0,NA
"5",4,19690,0,130226852773.675,661.385742883063,20.1086151107146,227436359.068119,0.548755713560183,0.0256983240223464,0.150990350431691,15.2263997555274,171982983604.178,0,NA
"6",5,20136,0,130791795498.542,649.54209127206,20.1203488569711,232117906.635661,0.548073102900278,0.0271652761223679,0.152810885975367,15.2352846394514,172729070400.554,0,NA
"7",6,20553,0,131302225258.749,638.8470065623,20.1418591540872,236566510.032196,0.548484406169416,0.0284629981024668,0.154478664915098,15.251572403723,173403165114.594,0,NA
"8",7,20871,0,131860124512.761,631.786327980263,20.1553828371089,239516766.008658,0.547793589190743,0.0298500311436922,0.157874562790475,15.2618126416867,174139950011.194,0,NA
"9",8,21126,0,132372403940.569,626.585269055047,20.178991608437,241611408.388405,0.548187068067784,0.0311464546056991,0.160749786992332,15.2796893869523,174816487472.993,0,NA
"10",9,21370,0,132860703996.383,621.715975649899,20.2105523091424,244105093.084789,0.548619560131025,0.0323818437061301,0.164061768834815,15.3035873949881,175461356781.468,0,NA
"11",10,21581,0,133048853469.349,616.509213981507,20.2646852381889,246002792.078714,0.548213706501089,0.033826050692739,0.167184097122469,15.3445772698782,175709834779.938,0,NA
"12",11,21877,0,133013691907.164,608.007002363963,20.3493559938684,248726948.868946,0.546418613155369,0.0359738538190794,0.17095579832701,15.408690624601,175663398962.409,0,NA
"13",12,21977,0,132705789625.11,603.839421327341,20.4737429948195,249324021.398288,0.546434909223279,0.0380397688492515,0.17431860581517,15.5028774291346,175256770436.891,0,NA
"14",13,22161,0,132287493748.302,596.938286847624,20.6171101812491,251303682.938575,0.543702901493615,0.0413338748251433,0.179775280898876,15.6114361777297,174704351550.996,0,NA
"15",14,22302,0,131582889620.584,590.004885752774,20.8040684315006,252705723.449138,0.542507398439602,0.0444803156667563,0.1833467850417,15.7530024188782,173773822112.837,0,NA
"16",15,22363,0,130825228078.368,585.007503815983,21.0084773167089,253017328.249223,0.540133255824353,0.0475785896346644,0.188436256316237,15.9077824165372,172773222852.262,0,NA
"17",16,22503,0,129909763189.94,577.299751988357,21.2404849180615,253931783.536996,0.538505976980847,0.0507487890503488,0.192996489356975,16.0834603767083,171564221946.969,0,NA
"18",17,22672,0,128777239581.634,568.001233158231,21.5101603830326,255654756.709948,0.535859209597742,0.0547371206774876,0.196806633733239,16.2876607361711,170068564292.575,0,NA
"19",18,22956,0,127471728237.602,555.287193925779,21.8174821749885,258890314.527119,0.53310681303363,0.0599407562293082,0.201211012371493,16.5203671872191,168344451858.821,0,NA
"20",19,23068,0,126125984510.313,546.757345718366,22.1397968304452,260072741.488672,0.529738165423964,0.0649817929599445,0.205869602913126,16.7644263511162,166567206870.892,0,NA
"21",20,23112,0,124702211717.842,539.556125466604,22.4862861755793,260470616.240092,0.526869158878505,0.069920387677397,0.209761163032191,17.0267907780543,164686913462.825,0,NA
"22",21,23077,0,123174205572.64,533.753111637735,22.8620986404494,260153339.583358,0.523854920483598,0.0755730814230619,0.214975950080166,17.3113588993156,162668965165.526,0,NA
"23",22,23239,0,121645151371.451,523.452607132197,23.2450497890492,262069204.081604,0.519643702396833,0.081070614053961,0.219544730840398,17.6013324874178,160649632762.016,0,NA
"24",23,23422,0,120100415231.153,512.76754859172,23.6394116724468,264152104.788121,0.51417470753992,0.0876099393732388,0.223849372384937,17.8999463726553,158609590139.229,0,NA
"25",24,23476,0,118499264164.858,504.767695369136,24.057084061551,264439777.785707,0.510350996762651,0.0936275345033225,0.227636735389334,18.2162111541099,156495043625.071,0,NA
"26",25,23575,0,116884455007.915,495.798324529863,24.491802715444,265515830.219451,0.505832449628844,0.100487804878049,0.231940615058325,18.5453834998391,154362459669.862,0,NA
"27",26,23650,0,115254722839.133,487.334980292317,24.9428640124981,266628032.008802,0.499704016913319,0.108287526427061,0.236194503171247,18.8869306220739,152210167766.21,0,NA
"28",27,23802,0,113709684201.467,477.731636843405,25.3842805957513,268015290.538348,0.494412234266028,0.115494496260818,0.24056801949416,19.2211746920075,150169725652.852,0,NA
"29",28,23950,0,112057661461.961,467.881676250359,25.8591673765399,269589474.024852,0.490480167014614,0.121711899791232,0.244843423799582,19.5807626558275,147987995896.886,0,NA
"30",29,24098,0,110392226770.915,458.097048597042,26.3514697998841,271311732.347559,0.485973939746037,0.129346833762138,0.248443854261764,19.9535378796399,145788553761.386,0,NA
"31",30,24161,0,108832574598.633,450.447310122235,26.8372270711795,272074378.710783,0.478622573568975,0.137990977194653,0.252597160713547,20.3213570634164,143728812408.042,0,NA
"32",31,24160,0,107339503975.943,444.286026390492,27.314797428656,271881838.726725,0.471523178807947,0.147475165562914,0.256332781456954,20.6829770523759,141757001410.902,0,NA
"33",32,24335,0,105909661919.413,435.215376697814,27.7909019143567,273755643.814412,0.464680501335525,0.156441339634272,0.259420587630984,21.043487071826,139868692680.965,0,NA
"34",33,24491,0,104436634195.007,426.428623555622,28.2870930558396,275320641.298194,0.458249969376506,0.165652688742803,0.262014617614634,21.4192068632573,137923351166.683,0,NA
"35",34,24592,0,103029042043.584,418.953489116721,28.7798255259358,276395976.390001,0.450593689004554,0.175056929082628,0.26439492517892,21.7923077218149,136064426584.359,0,NA
"36",35,24671,0,101612079619.214,411.868508042699,29.2881805020999,277149728.262015,0.442584410846743,0.185035061408131,0.267398970451137,22.1772380634705,134193127230.902,0,NA
"37",36,24691,0,100248291021.483,406.011465803261,29.7912833714129,277235266.55434,0.435259811267263,0.193511805921186,0.271232432870277,22.5581914689703,132392051438.563,0,NA
"38",37,24736,0,98887081755.1853,399.769897134481,30.3084408271764,277827226.9842,0.427433699870634,0.203913324708926,0.272477360931436,22.9497871166392,130594382018.306,0,NA
"39",38,24944,0,97609893837.7771,391.316123467676,30.8078158574629,280127827.966647,0.419178960872354,0.213718729955099,0.275376844130853,23.3279177734352,128907674676.612,0,NA
"40",39,25023,0,96328891450.7266,384.961401313698,31.326590684611,280988968.083246,0.411581345162451,0.224073852056108,0.277025136874076,23.7207381072957,127215929788.083,0,NA
"41",40,25134,0,95077339328.1383,378.281767041212,31.8520640502587,282243421.682982,0.403397787857086,0.234264343120872,0.27898464231718,24.1186306266054,125563078140.406,0,NA
"42",41,25302,0,93869473343.3006,370.996258569681,32.3728285862365,284330067.712063,0.394790925618528,0.243340447395463,0.282191131135879,24.5129575834666,123967920218.349,0,NA
"43",42,25540,0,92672067467.8911,362.850694862534,32.9031249774648,287278288.831332,0.386296006264683,0.254581049334377,0.283790133124511,24.9145021352569,122386576350.691,0,NA
"44",43,25546,0,91526927431.7484,358.282813089127,33.4287856800778,286982012.794253,0.379041728646363,0.264503249040946,0.284936976434667,25.3125365075739,120874256918.364,0,NA
"45",44,25677,0,90476220366.3424,352.362894288049,33.9336178651907,288312217.892722,0.37134400436188,0.273707987693266,0.286482065661876,25.6947993644471,119486649584.287,0,NA
"46",45,25827,0,89351759244.9527,345.962594358434,34.4707595550127,290129384.18697,0.364115073372827,0.282804816664731,0.288457815464436,26.1015272295715,118001639584.548,0,NA
"47",46,25935,0,88308298900.3348,340.49854983742,34.9995248085484,291531263.682646,0.356121071910546,0.291228070175439,0.29099672257567,26.5019123919926,116623602570.538,0,NA
"48",47,26120,0,87259729602.9989,334.0724716807,35.5427165804845,293990551.649813,0.34885145482389,0.300267993874426,0.292419601837672,26.913221426348,115238818461.65,0,NA
"49",48,26331,0,86241562260.5342,327.528625044754,36.0765302587435,296522405.84211,0.341650525995974,0.309862899244237,0.292924689529452,27.3174292952335,113894184435.442,0,NA
"50",49,26370,0,85337052189.8572,323.614153165936,36.5849066035719,296556671.383433,0.333864239666287,0.319226393629124,0.294766780432309,27.7023758174077,112699650916.88,0,NA
"51",50,26544,0,84424250854.8108,318.053989055194,37.1003522125964,298393773.144998,0.325836347197107,0.329076250753466,0.29498191681736,28.0926752414122,111494167610.668,0,NA
"52",51,26664,0,83567559027.485,313.409687321801,37.6040686055637,299814967.041698,0.318256825682568,0.337421242124212,0.296692169216922,28.4740932117947,110362784847.784,0,NA
"53",52,26781,0,82670393833.01,308.690466498674,38.1358151020038,301130517.263813,0.311974907583735,0.345132743362832,0.298121802770621,28.8767357945296,109177951277.4,0,NA
