"Car or
Truck","Vehicle
Type",Model Year,Prod (000),,Fuel Economy (MPG),,,,"Weight
(lb)","Vol 
(Cu-Ft)",Engine,,0-60 Time,"HP/
CID","HP/
WT","Ton-MPG
(Lab 55/45)",Cu-Ft-MPG (Lab 55/45),"Cu-Ft-Ton-
MPG
(Lab 55/45)",Drivetrain,,,Transmission,,,,,Fuel Metering,,,,,,VVT,,Vehicle Size,,
,,,,Frac,Lab 55/45,Adj City,Adj Hwy,Adj Comb,,,CID,HP,,,,,,,Front,4WD,Rear,Manual,Automatic,Lockup,CVT,Other,Carb,GDI,Port,TBI,Diesel,Multi-Valve,,Hybrid,Small,Midsize,Large
Car,Car,1975,8237,0.806,15.8,12.3,15.2,13.5,4058,,288,136,,0.515,0.0331,32.3,,,6.5%,,93.5%,19.6%,80.1%,0.3%,,,94.6%,,5.1%,,0.2%,,,,55.4%,23.3%,21.3%
Car,Car,1976,9722,0.788,17.5,13.7,16.6,14.9,4059,,287,134,,0.502,0.0324,35.5,,,5.8%,,94.2%,17.1%,82.9%,,,,96.6%,,3.2%,,0.3%,,,,55.4%,25.2%,19.4%
Car,Car,1977,11300,0.800,18.3,14.4,17.4,15.6,3944,110.4,279,133,,0.516,0.0335,36.4,2091,4021,6.8%,,93.2%,16.8%,83.2%,,,,95.3%,,4.2%,,0.5%,,,,51.9%,24.5%,23.5%
Car,Car,1978,11175,0.773,19.9,15.5,19.1,16.9,3588,109.0,251,124,13.7,0.538,0.0342,35.9,2240,3926,9.6%,,90.4%,19.8%,73.1%,7.1%,,,94.0%,,5.1%,,0.9%,,,,44.7%,34.4%,21.0%
Car,Car,1979,10794,0.778,20.3,15.9,19.2,17.2,3485,108.9,238,119,14.5,0.545,0.0338,35.4,2258,3878,11.9%,0.3%,87.8%,21.1%,69.7%,8.8%,,0.5%,93.2%,,4.7%,,2.1%,,,,43.7%,34.2%,22.1%
Car,Car,1980,9443,0.835,23.5,18.3,22.6,20.0,3101,104.2,188,100,15.5,0.583,0.0322,36.6,2507,3841,29.7%,0.9%,69.4%,30.9%,51.6%,16.8%,,0.6%,88.7%,,6.2%,0.7%,4.4%,,,,54.4%,34.4%,11.3%
Car,Car,1981,8733,0.827,25.1,19.6,24.2,21.4,3076,106.5,182,99,15.6,0.594,0.0320,38.9,2744,4161,37.0%,0.7%,62.2%,29.9%,36.2%,33.3%,,0.6%,85.3%,,6.1%,2.6%,5.9%,,,,51.5%,36.4%,12.2%
Car,Car,1982,7819,0.803,26.0,20.1,25.5,22.2,3054,106.1,175,99,16.6,0.609,0.0320,40.1,2836,4273,45.6%,0.8%,53.6%,29.2%,18.9%,51.4%,,0.5%,78.4%,,7.2%,9.8%,4.7%,,,,56.5%,31.0%,12.5%
Car,Car,1983,8002,0.777,25.9,19.9,25.5,22.1,3112,108.7,182,104,14.8,0.615,0.0330,40.7,2904,4426,47.3%,3.1%,49.6%,26.1%,16.8%,56.7%,,0.5%,69.6%,,9.5%,18.9%,2.1%,,,,53.1%,31.8%,15.1%
Car,Car,1984,10675,0.761,26.3,20.2,26.0,22.4,3099,107.5,179,106,14.5,0.637,0.0339,41.1,2910,4425,53.7%,1.0%,45.3%,24.1%,17.5%,58.3%,,0.0%,58.9%,,15.0%,24.4%,1.7%,,,,57.4%,29.4%,13.2%
Car,Car,1985,10791,0.746,27.0,20.7,26.8,23.0,3093,108.2,177,111,13.9,0.671,0.0355,42.0,2992,4551,61.6%,2.1%,36.3%,22.8%,18.5%,58.7%,,,45.6%,,21.4%,32.0%,0.9%,,,,55.7%,28.9%,15.4%
Car,Car,1986,11015,0.717,27.9,21.2,27.6,23.7,3041,107.3,167,111,13.2,0.701,0.0360,42.6,3057,4585,71.1%,1.1%,27.9%,24.8%,17.2%,58.0%,,,34.5%,,36.7%,28.4%,0.3%,4.8%,,,59.5%,27.9%,12.6%
Car,Car,1987,10731,0.722,28.1,21.2,27.7,23.8,3031,106.6,162,112,13.3,0.732,0.0365,42.8,3051,4569,77.0%,1.1%,21.9%,24.9%,15.6%,59.5%,,,26.8%,,42.5%,30.5%,0.3%,14.7%,,,63.5%,24.3%,12.2%
Car,Car,1988,10736,0.702,28.6,21.4,28.2,24.1,3047,107.0,160,116,13.3,0.759,0.0375,43.7,3119,4693,81.7%,0.8%,17.5%,24.3%,9.6%,66.1%,,,16.3%,,53.7%,30.0%,0.0%,19.9%,,,64.8%,22.3%,12.8%
Car,Car,1989,10018,0.693,28.1,20.9,27.9,23.7,3099,107.7,163,121,12.5,0.783,0.0387,43.8,3080,4723,82.5%,1.0%,16.5%,21.0%,9.6%,69.3%,0.1%,,9.7%,,62.4%,27.8%,0.0%,24.4%,,,58.3%,28.2%,13.5%
Car,Car,1990,8810,0.698,27.8,20.5,27.5,23.3,3176,107.1,163,129,11.4,0.829,0.0401,44.2,3014,4746,84.6%,1.0%,14.4%,19.6%,7.4%,72.9%,0.0%,,1.4%,,77.5%,21.1%,0.0%,33.0%,0.6%,,58.6%,28.7%,12.8%
Car,Car,1991,8524,0.678,28.0,20.5,27.6,23.4,3154,106.8,163,132,11.3,0.851,0.0413,44.3,3040,4746,83.2%,1.4%,15.4%,20.5%,5.9%,73.6%,0.0%,,0.0%,,78.0%,21.9%,0.1%,34.1%,2.4%,,61.5%,26.2%,12.3%
Car,Car,1992,8108,0.666,27.6,20.0,27.5,23.1,3240,108.4,170,141,10.7,0.868,0.0428,44.9,3040,4877,80.8%,1.1%,18.1%,17.4%,6.2%,76.4%,0.0%,,0.0%,,89.5%,10.4%,0.1%,35.0%,4.6%,,56.5%,27.8%,15.6%
Car,Car,1993,8456,0.640,28.2,20.3,27.9,23.5,3207,108.4,166,138,10.1,0.865,0.0425,45.4,3107,4929,85.1%,1.2%,13.7%,17.8%,5.2%,77.0%,0.0%,,,,91.6%,8.4%,,36.7%,4.8%,,57.2%,29.5%,13.3%
Car,Car,1994,8415,0.596,28.0,20.0,27.7,23.3,3250,108.2,168,143,9.9,0.884,0.0432,45.7,3086,4955,84.4%,0.4%,15.1%,16.7%,4.0%,79.3%,,,,,94.9%,5.1%,0.0%,41.0%,8.0%,,58.5%,26.1%,15.4%
Car,Car,1995,9396,0.620,28.3,20.0,28.1,23.4,3263,108.7,167,152,9.8,0.945,0.0460,46.4,3130,5045,82.0%,1.2%,16.9%,16.3%,1.8%,81.9%,,,,,98.8%,1.2%,0.1%,52.2%,9.8%,,57.3%,28.6%,14.0%
Car,Car,1996,7890,0.600,28.3,19.8,28.0,23.3,3282,109.0,165,154,10.1,0.958,0.0464,46.5,3125,5080,86.5%,1.5%,11.9%,14.9%,1.6%,83.6%,0.0%,,,,98.8%,1.1%,0.1%,57.3%,11.7%,,54.3%,32.0%,13.6%
Car,Car,1997,8334,0.576,28.4,19.8,28.0,23.4,3274,108.7,164,156,10.0,0.974,0.0469,46.7,3127,5076,86.5%,1.7%,11.7%,13.5%,0.6%,85.8%,0.1%,,,,99.1%,0.8%,0.1%,58.6%,11.3%,,55.1%,30.6%,14.3%
Car,Car,1998,7971,0.551,28.5,19.7,28.0,23.4,3306,108.6,164,159,10.2,0.993,0.0475,47.3,3138,5145,87.0%,2.3%,10.7%,12.3%,0.4%,87.3%,0.1%,,,,99.7%,0.1%,0.2%,61.4%,18.4%,,49.4%,39.1%,11.4%
Car,Car,1999,8376,0.551,28.2,19.4,27.5,23.0,3365,109.1,166,164,10.1,1.009,0.0481,47.5,3106,5191,87.2%,2.2%,10.6%,10.9%,0.6%,88.4%,0.0%,,,,99.7%,0.1%,0.2%,64.7%,17.1%,,47.7%,39.7%,12.6%
Car,Car,2000,9125,0.551,28.2,19.3,27.3,22.9,3369,109.6,165,168,9.5,1.032,0.0492,47.6,3121,5224,84.9%,2.1%,13.0%,11.2%,1.1%,87.7%,0.0%,,,,99.7%,0.1%,0.2%,65.1%,23.4%,0.1%,47.5%,34.3%,18.2%
Car,Car,2001,8405,0.539,28.4,19.4,27.3,23.0,3380,109.3,165,168,9.3,1.042,0.0492,48.4,3159,5292,84.1%,3.2%,12.6%,11.4%,0.9%,87.5%,0.2%,,,,99.7%,,0.3%,67.3%,28.3%,0.2%,50.8%,32.3%,16.8%
