U.S. Total Gasoline Retail Sales by Refiners
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=a103600001&f=a
16:04:04 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Year,U.S. Total Gasoline Retail Sales by Refiners Thousand Gallons per Day
2015,25454.1
2014,21633.6
2013,24722.5
2012,29725.8
2011,39002.1
2010,44697
2009,49797.6
2008,55108.1
2007,57653.5
2006,59977.8
2005,58977.4
2004,58388.6
2003,63830.5
2002,63638.4
2001,62013.4
2000,60896.9
1999,61956
1998,63330.3
1997,61123.4
1996,57536
1995,55922.5
1994,55033.2
1993,57218.8
1992,59127.6
1991,61180.5
1990,60347.9
1989,61226
1988,61029.2
1987,61023.5
1986,61369.3
1985,57536.1
1984,57573.4
1983,51106.9 
