,Car,Car SUV,Van,Pickup,Truck SUV,Other truck
1,"14,204.94","14,204.94","15,605.68","15,937.25","15,937.25","68,952.25"
2,"13,963.99","13,963.99","15,233.94","14,378.36","14,378.36","27,467.34"
3,"12,300.96","12,300.96","14,182.16","14,076.87","14,076.87","25,844.89"
4,"12,080.95","12,080.95","13,787.86","13,039.64","13,039.64","19,451.58"
5,"12,788.64","12,788.64","14,280.66","12,752.56","12,752.56","16,369.33"
6,"11,718.94","11,718.94","13,164.91","12,404.39","12,404.39","16,066.82"
7,"11,451.20","11,451.20","14,612.40","11,817.01","11,817.01","14,434.39"
8,"11,045.51","11,045.51","12,673.80","12,682.46","12,682.46","25,424.59"
9,"11,013.94","11,013.94","12,862.14","11,136.26","11,136.26","32,437.32"
10,"10,874.43","10,874.43","11,624.28","11,569.45","11,569.45","19,608.10"
11,"10,458.75","10,458.75","9,794.84","11,772.12","11,772.12","24,157.97"
12,"10,449.82","10,449.82","10,410.85","10,657.88","10,657.88","14,247.02"
13,"9,548.62","9,548.62","10,882.57","10,101.98","10,101.98","9,203.99"
14,"9,696.52","9,696.52","10,674.52","9,473.39","9,473.39","4,999.99"
15,"9,443.71","9,443.71","10,075.38","9,820.09","9,820.09","6,452.89"
16,"8,438.73","8,438.73","10,988.77","8,702.23","8,702.23","13,991.06"
17,"8,741.91","8,741.91","8,066.05","7,490.31","7,490.31","12,118.06"
18,"8,724.09","8,724.09","7,663.42","8,461.49","8,461.49","6,915.34"
19,"8,609.44","8,609.44","8,858.87","9,049.27","9,049.27","7,143.69"
20,"8,290.81","8,290.81","7,739.33","8,127.35","8,127.35","2,681.92"
21,"8,290.81","8,290.81","7,739.33","8,127.35","8,127.35","2,681.92"
22,"8,290.81","8,290.81","7,739.33","8,127.35","8,127.35","2,681.92"
23,"8,290.81","8,290.81","7,739.33","8,127.35","8,127.35","2,681.92"
24,"8,290.81","8,290.81","7,739.33","8,127.35","8,127.35","2,681.92"
25,"6,971.77","6,971.77","6,743.67","7,775.05","7,775.05","2,860.21"
26,"6,971.77","6,971.77","6,743.67","7,775.05","7,775.05","2,860.21"
27,"6,971.77","6,971.77","6,743.67","7,775.05","7,775.05","2,860.21"
28,"6,971.77","6,971.77","6,743.67","7,775.05","7,775.05","2,860.21"
29,"6,971.77","6,971.77","6,743.67","7,775.05","7,775.05","2,860.21"
30,"6,971.77","6,971.77","6,743.67","7,775.05","7,775.05","2,860.21"
31,"6,971.77","6,971.77","6,743.67","7,775.05","7,775.05","2,860.21"
32,"6,971.77","6,971.77","6,743.67","7,775.05","7,775.05","2,860.21"
33,"6,971.77","6,971.77","6,743.67","7,775.05","7,775.05","2,860.21"
34,"6,971.77","6,971.77","6,743.67","7,775.05","7,775.05","2,860.21"
35,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
36,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
37,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
38,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
39,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
40,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
41,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
42,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
43,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
44,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
45,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
46,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
47,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
48,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
49,"5,485.89","4,485.89","4,371.84","4,887.53","4,887.53","2,430.11"
50,"2,742.94","2,242.94","2,185.92","2,443.76","2,443.76","1,215.05"
51,"2,742.94","2,242.94","2,185.92","2,443.76","2,443.76","1,215.05"
52,"2,742.94","2,242.94","2,185.92","2,443.76","2,443.76","1,215.05"
53,"2,742.94","2,242.94","2,185.92","2,443.76","2,443.76","1,215.05"
54,"2,742.94","2,242.94","2,185.92","2,443.76","2,443.76","1,215.05"
55,"2,742.94","2,242.94","2,185.92","2,443.76","2,443.76","1,215.05"
