"","scaleYear","numCars","propEVS","gasolineConsumptionWithEVs","averageGasolineConsumptionWithEVs","efficiencyWithEVs","totalVMT","propCars","propCarSUV","propTruck","scaledEfficiencyWithEVs","scaledGasolineConsumptionWithEVs","EV_VMT","EV_Efficiency"
"1",0,18017,0,128149821552.284,711.271696466028,20.0542342950292,210207258.81864,0.546428373203086,0.0233668202253427,0.148304379197425,15.1852221789465,169239970017.613,0,NA
"2",1,18468,0,128705478111.717,696.910754341113,20.0611295381892,215200219.556404,0.546350444011263,0.0236625514403292,0.148797920727745,15.1904433106947,169973793118.724,0,NA
"3",2,18800,0,129298801752.455,687.759583789653,20.0612163591742,218556006.369836,0.545531914893617,0.0238829787234043,0.150691489361702,15.1905090522197,170757360929.845,0,NA
"4",3,19085,0,129826803002.525,680.255713924678,20.0749530506345,220875562.810389,0.546764474718365,0.0244170814776002,0.151689808750327,15.2009105818298,171454661282.266,0,NA
"5",4,19282,0,130379233233.211,676.170694083657,20.0893751296663,222448912.915532,0.547972202053729,0.0251011305881133,0.15195519137019,15.2118310922397,172184223559.807,0,NA
"6",5,19781,0,130792975318.719,661.205072133454,20.1214428130282,228190710.145227,0.548708356503716,0.0264900662251656,0.153783934078156,15.236112991486,172730628520.018,0,NA
"7",6,20180,0,131220854027.545,650.252002118659,20.1544686891514,232451529.213856,0.550495540138751,0.0274033696729435,0.155797819623389,15.2611204417436,173295702891.374,0,NA
"8",7,20487,0,131753589242.061,643.10826007742,20.1756874464111,235198263.844876,0.55078830477864,0.0288963733099038,0.158783618880266,15.2771874497684,173999255113.608,0,NA
"9",8,20841,0,132276009727.375,634.69128030025,20.198927885998,238356988.104741,0.5505973801641,0.030516769828703,0.16165251187563,15.2947852913748,174689185276.601,0,NA
"10",9,21108,0,132749101998.487,628.904216403669,20.224709366504,241163530.043036,0.549649422020087,0.0322152738298276,0.165577032404775,15.3143072289281,175313970553.776,0,NA
"11",10,21272,0,132991030041.034,625.192882855558,20.2722498781384,242803387.601746,0.548091387739752,0.0346464836404663,0.168014291086875,15.3503052740815,175633470761.98,0,NA
"12",11,21554,0,132922968859.882,616.697452258892,20.3631926142407,245555482.171158,0.547230212489561,0.0367449197364758,0.172033033311682,15.4191678211605,175543586342.961,0,NA
"13",12,21757,0,132602609316.167,609.471017677838,20.4904397421914,247629373.39664,0.546858482327527,0.039481546169049,0.175162016822172,15.5155203361026,175120506240.965,0,NA
"14",13,21966,0,132114026666.735,601.447813287514,20.6453238410601,249601385.831926,0.545934626240554,0.0427478830920514,0.179049440043704,15.6327997803689,174475263727.636,0,NA
"15",14,22131,0,131454886922.99,593.985300813292,20.8289209859231,251101365.977099,0.544756224300755,0.0459084542045095,0.18291084903529,15.7718209663763,173604776440.821,0,NA
"16",15,22372,0,130573317859.135,583.646155279524,21.0519029731573,253972240.546052,0.542731986411586,0.0491686036116574,0.187555873413195,15.9406646613407,172440539767.465,0,NA
"17",16,22553,0,129607770246.708,574.680841780287,21.2915780611527,255461025.874505,0.541524409169512,0.0528976189420476,0.191681816166364,16.1221485020312,171165397539.42,0,NA
"18",17,22724,0,128572452807.147,565.800267589978,21.5516621029299,256886726.912853,0.539165639852139,0.0566361556064073,0.196796338672769,16.3190861612548,169798114383.598,0,NA
"19",18,22851,0,127376713515.061,557.422929040573,21.8408763741331,258030295.585283,0.536387904249267,0.0603037066211544,0.201654194564789,16.5380814567586,168218971475.008,0,NA
"20",19,22908,0,126077028846.516,550.362444763909,22.1524015245972,258554184.313066,0.533088877248123,0.0647808625807578,0.206521739130435,16.7739707235604,166502553990.593,0,NA
"21",20,23053,0,124594352308.442,540.469146351635,22.5071129428535,260384627.508051,0.529475556326725,0.070316227822843,0.211946384418514,17.0425609682135,164544469852.746,0,NA
"22",21,23165,0,123175056554.118,531.72914549587,22.8559518416999,261298822.696477,0.525145693934815,0.0759335203971509,0.216965249298511,17.3067044954962,162670089006.964,0,NA
"23",22,23291,0,121698104200.293,522.511288481786,23.2274868000714,262170921.376137,0.521789532437422,0.0807608088961401,0.220514361770641,17.5880336555686,160719564464.276,0,NA
"24",23,23336,0,120102075160.221,514.664360474034,23.6340854533759,262766183.039289,0.517098045937607,0.0870757627699691,0.225402811107302,17.8959133181503,158611782310.41,0,NA
"25",24,23418,0,118412627081.17,505.647907939064,24.0678252082128,263976320.006475,0.512853360662738,0.0937313177897344,0.228755658040823,18.224344433901,156380627098.632,0,NA
"26",25,23500,0,116854870464.977,497.254767936073,24.4908724564319,264588651.217825,0.508425531914894,0.100425531914894,0.23263829787234,18.5446791004801,154323389095.287,0,NA
"27",26,23648,0,115331099583.857,487.699169417527,24.9190681836636,266189078.05055,0.501099458728011,0.107450947225981,0.238878552097429,18.8689122354096,152311034063.413,0,NA
"28",27,23745,0,113711704216.302,478.886941319445,25.3779483235691,267305609.183742,0.496399241945673,0.114087176247631,0.242787955359023,19.2163798462623,150172393368.234,0,NA
"29",28,23882,0,112037698328.067,469.130300343637,25.8594398308978,268811196.069553,0.492295452642157,0.121430365966,0.24574993719119,19.5809689603863,147961631754.191,0,NA
"30",29,23938,0,110407241772.969,461.221663351026,26.3448729990309,269337559.179999,0.486130837998162,0.129459436878603,0.250480407719943,19.9485427307276,145808383195.922,0,NA
"31",30,24050,0,108896223315.51,452.790949336838,26.8203469957644,270461875.72165,0.48016632016632,0.137130977130977,0.253804573804574,20.3085753390281,143812869543.708,0,NA
"32",31,24203,0,107313108704.582,443.387632543826,27.3151096370455,272108088.680965,0.475023757385448,0.145105978597695,0.256827665991819,20.6832134589966,141722142720.663,0,NA
"33",32,24340,0,105817220206.378,434.746179976901,27.8057821620536,273601825.287011,0.467912900575185,0.153738701725555,0.261503697617091,21.0547545111124,139746610320.233,0,NA
"34",33,24492,0,104378348653.006,426.173234741981,28.297816428622,275320735.314708,0.459374489629267,0.163686101584191,0.265392781316348,21.4273266845286,137846376862.222,0,NA
"35",34,24703,0,102839644118.401,416.304271215645,28.8265552293188,278023786.216021,0.452698052868073,0.173703598753188,0.267862202971299,21.8276918166544,135814299828.105,0,NA
"36",35,24772,0,101460620669.234,409.57783250942,29.3187771019481,278658060.693807,0.444251574358146,0.18407879864363,0.2708299693202,22.2004060468389,133993104259.015,0,NA
"37",36,24950,0,100065498663.676,401.064122900506,29.8339326376726,280525273.753882,0.43687374749499,0.193827655310621,0.27250501002004,22.5904858250846,132150648268.586,0,NA
"38",37,25162,0,98677443189.8008,392.168520744777,30.3602511193909,283237103.742367,0.428741753437724,0.204475001987123,0.274580716954137,22.9890182728559,130317524633.017,0,NA
"39",38,25307,0,97398466710.8707,384.867691590748,30.8700473002006,284855517.635235,0.421464416959734,0.214209507250958,0.276129134231636,23.375039905878,128628455242.787,0,NA
"40",39,25355,0,96118554453.7328,379.091123856174,31.3910102616782,285246860.904798,0.412817984618418,0.224965490041412,0.277893906527312,23.7695171120708,126938150025.04,0,NA
"41",40,25414,0,94889732969.51,373.37582816365,31.9111860633113,285872148.984613,0.405367120484772,0.234634453450854,0.27941292201149,24.1633982747073,125315317401.258,0,NA
"42",41,25522,0,93680485613.7819,367.057776090361,32.4322115011716,286950875.743925,0.397656923438602,0.245513674476922,0.281051641720868,24.5579227885029,123718335183.505,0,NA
"43",42,25657,0,92485683924.6452,360.469594748588,32.957283771548,288480366.649553,0.389562302685427,0.255680710917099,0.282301126398254,24.9555115953539,122140430512.26,0,NA
"44",43,25778,0,91364250516.3545,354.427226768386,33.4778892867983,289625171.162323,0.383156179688106,0.265109783536349,0.282644115136938,25.3497181404834,120659419036.029,0,NA
"45",44,26023,3.84275448641586e-05,90337391649.929,347.144417053872,33.9738799988694,292135513.531674,0.374092149252584,0.274949083503055,0.285209237981785,25.7252861652052,119303306622.753,14736.7948429149,141.805504587157
"46",45,26180,7.63941940412529e-05,89316626959.7027,341.163586553486,34.486668118662,293827879.463916,0.366997708174179,0.283804430863254,0.285523300229183,26.1135733176947,117955242431.353,28946.0702248328,142.650458715597
"47",46,26214,0.000114442664225223,88318101765.1631,336.911962177322,34.99636508863,293783547.045445,0.35999847409781,0.292668039978637,0.286068513008316,26.4995198274958,116636548640.455,41837.9601236164,143.495412844037
"48",47,26389,0.000189472886429952,87292333342.2683,330.790607231302,35.5251047459917,295662394.80198,0.35279851453257,0.301981886392057,0.287240895827807,26.899885608295,115281876312.138,68896.434571876,144.847339449542
"49",48,26401,0.000303018825044506,86330279470.5155,326.996248136493,36.0510340700004,296025369.224833,0.343320328775425,0.311276088026969,0.289951138214462,27.298123382822,114011348062.948,110889.436540861,146.241513761468
"50",49,26475,0.000453257790368272,85408029326.2568,322.598788767731,36.5739057593233,296776930.282249,0.334504249291785,0.320302171860246,0.292804532577904,27.6940458925842,112793386267.352,165375.532049037,147.579357798166
"51",50,26724,0.000673551863493489,84444706727.3521,315.988275435384,37.1286727242426,299635548.80924,0.327720401137554,0.328880407124682,0.293256997455471,28.114119753092,111521182484.459,244883.695907353,149.034556574924
"52",51,26861,0.000930717396969584,83474199642.5385,310.763559221691,37.7018174799166,301399464.478374,0.32161870369681,0.337440899445292,0.293324894828934,28.5481094196914,110239490571.461,341158.767987386,150.728220183487
"53",52,26939,0.00126211069453209,82572366886.0837,306.516080352217,38.2668225106656,302122440.885995,0.314970860091317,0.345410000371209,0.293997550020416,28.9759356232715,109048492825.115,461356.667614352,152.044360496493
"54",53,27108,0.00173380551866608,81726832683.992,301.48602878852,38.8293695982549,303918695.249764,0.307879592740151,0.351556736018887,0.296812749003984,29.4019006531744,107931845284.935,631962.08202182,153.634862385322
"55",54,27264,0.00234741784037559,80880179943.5145,296.655589581552,39.4181789642506,305845547.334068,0.300396126760563,0.358604753521127,0.29793867370892,29.8477516845402,106813720556.566,857300.070127788,155.113532110092
"56",55,27331,0.00311002158720866,80015111784.9343,292.763205828306,40.0401102750227,306799431.656125,0.293768980278804,0.365738538655739,0.298562072372032,30.3186829100948,105671275663.176,1134994.05080023,156.617053426876
