"year","scen","co2_mean","co2_max","co2_min","elec"
2010,"base_fleet100_ev",1519902261.50362,1542433155.62988,1495808069.09192,"Current electricity trends"
2010,"base_fleet50_ev",1542729283.90724,1564115245.63695,1519250605.2154,"Current electricity trends"
2010,"car",1566090746.57042,1585604138.2574,1545618709.31718,"Current electricity trends"
2010,"ev_bau_f0_base_FALSE",1566090746.57042,1585604138.2574,1545618709.31718,"Current electricity trends"
2010,"ev_bau_f0_base_TRUE",1616198047.41296,1636255873.68939,1592748177.66971,"Current electricity trends"
2010,"ev_bau_f0_high_fast_FALSE",1566090746.57042,1585604138.2574,1545618709.31718,"Current electricity trends"
2010,"ev_bau_f0_high_fast_TRUE",1616198047.41296,1636255873.68939,1592748177.66971,"Current electricity trends"
2010,"ev_bau_f0_high_slow_FALSE",1566090746.57042,1585604138.2574,1545618709.31718,"Current electricity trends"
2010,"ev_bau_f0_high_slow_TRUE",1616198047.41296,1636255873.68939,1592748177.66971,"Current electricity trends"
2010,"ev_bau_f0_slow_FALSE",1566090746.57042,1585604138.2574,1545618709.31718,"Current electricity trends"
2010,"ev_bau_f0_slow_TRUE",1616198047.41296,1636255873.68939,1592748177.66971,"Current electricity trends"
2010,"ev_bau_f100_base_FALSE",1544190153.03146,1566948233.72654,1519369768.35192,"Current electricity trends"
2010,"ev_bau_f100_base_TRUE",1594255051.8536,1618223820.47308,1571312935.11668,"Current electricity trends"
2010,"ev_bau_f100_high_fast_FALSE",1544190153.03146,1566948233.72654,1519369768.35192,"Current electricity trends"
2010,"ev_bau_f100_high_fast_TRUE",1594255051.8536,1618223820.47308,1571312935.11668,"Current electricity trends"
2010,"ev_bau_f100_high_slow_FALSE",1544190153.03146,1566948233.72654,1519369768.35192,"Current electricity trends"
2010,"ev_bau_f100_high_slow_TRUE",1594255051.8536,1618223820.47308,1571312935.11668,"Current electricity trends"
2010,"ev_bau_f100_slow_FALSE",1544190153.03146,1566948233.72654,1519369768.35192,"Current electricity trends"
2010,"ev_bau_f100_slow_TRUE",1594255051.8536,1618223820.47308,1571312935.11668,"Current electricity trends"
2010,"ev_bau_f50_base_FALSE",1554969211.83456,1576750057.39136,1530573583.22798,"Current electricity trends"
2010,"ev_bau_f50_base_TRUE",1605100161.26588,1628732776.56525,1582183727.16453,"Current electricity trends"
2010,"ev_bau_f50_high_fast_FALSE",1554969211.83456,1576750057.39136,1530573583.22798,"Current electricity trends"
2010,"ev_bau_f50_high_fast_TRUE",1605100161.26588,1628732776.56525,1582183727.16453,"Current electricity trends"
2010,"ev_bau_f50_high_slow_FALSE",1554969211.83456,1576750057.39136,1530573583.22798,"Current electricity trends"
2010,"ev_bau_f50_high_slow_TRUE",1605100161.26588,1628732776.56525,1582183727.16453,"Current electricity trends"
2010,"ev_bau_f50_slow_FALSE",1554969211.83456,1576750057.39136,1530573583.22798,"Current electricity trends"
2010,"ev_bau_f50_slow_TRUE",1605100161.26588,1628732776.56525,1582183727.16453,"Current electricity trends"
2010,"ev_decarb_f0_base_FALSE",1563845683.3434,1583288375.96277,1543364775.67299,"Rapid decarbonization"
2010,"ev_decarb_f0_base_TRUE",1612844305.23718,1632806742.40243,1589465367.60469,"Rapid decarbonization"
2010,"ev_decarb_f0_high_fast_FALSE",1563845683.3434,1583288375.96277,1543364775.67299,"Rapid decarbonization"
2010,"ev_decarb_f0_high_fast_TRUE",1612844305.23718,1632806742.40243,1589465367.60469,"Rapid decarbonization"
2010,"ev_decarb_f0_high_slow_FALSE",1563845683.3434,1583288375.96277,1543364775.67299,"Rapid decarbonization"
2010,"ev_decarb_f0_high_slow_TRUE",1612844305.23718,1632806742.40243,1589465367.60469,"Rapid decarbonization"
2010,"ev_decarb_f0_slow_FALSE",1563845683.3434,1583288375.96277,1543364775.67299,"Rapid decarbonization"
2010,"ev_decarb_f0_slow_TRUE",1612844305.23718,1632806742.40243,1589465367.60469,"Rapid decarbonization"
2010,"ev_decarb_f100_base_FALSE",1542432684.10652,1565081186.07889,1517666366.76236,"Rapid decarbonization"
2010,"ev_decarb_f100_base_TRUE",1591388220.25352,1615104423.77394,1568494148.59205,"Rapid decarbonization"
2010,"ev_decarb_f100_high_fast_FALSE",1542432684.10652,1565081186.07889,1517666366.76236,"Rapid decarbonization"
2010,"ev_decarb_f100_high_fast_TRUE",1591388220.25352,1615104423.77394,1568494148.59205,"Rapid decarbonization"
2010,"ev_decarb_f100_high_slow_FALSE",1542432684.10652,1565081186.07889,1517666366.76236,"Rapid decarbonization"
2010,"ev_decarb_f100_high_slow_TRUE",1591388220.25352,1615104423.77394,1568494148.59205,"Rapid decarbonization"
2010,"ev_decarb_f100_slow_FALSE",1542432684.10652,1565081186.07889,1517666366.76236,"Rapid decarbonization"
2010,"ev_decarb_f100_slow_TRUE",1591388220.25352,1615104423.77394,1568494148.59205,"Rapid decarbonization"
2010,"ev_decarb_f50_base_FALSE",1552971011.27896,1574653888.91498,1528617287.6082,"Rapid decarbonization"
2010,"ev_decarb_f50_base_TRUE",1601992510.0115,1625464108.25051,1579126359.19314,"Rapid decarbonization"
2010,"ev_decarb_f50_high_fast_FALSE",1552971011.27896,1574653888.91498,1528617287.6082,"Rapid decarbonization"
2010,"ev_decarb_f50_high_fast_TRUE",1601992510.0115,1625464108.25051,1579126359.19314,"Rapid decarbonization"
2010,"ev_decarb_f50_high_slow_FALSE",1552971011.27896,1574653888.91498,1528617287.6082,"Rapid decarbonization"
2010,"ev_decarb_f50_high_slow_TRUE",1601992510.0115,1625464108.25051,1579126359.19314,"Rapid decarbonization"
2010,"ev_decarb_f50_slow_FALSE",1552971011.27896,1574653888.91498,1528617287.6082,"Rapid decarbonization"
2010,"ev_decarb_f50_slow_TRUE",1601992510.0115,1625464108.25051,1579126359.19314,"Rapid decarbonization"
2010,"ice_bau_f0_FALSE",1566090746.57042,1585604138.2574,1545618709.31718,"Current electricity trends"
2010,"ice_bau_f0_TRUE",1616198047.41296,1636255873.68939,1592748177.66971,"Current electricity trends"
2010,"ice_bau_f100_FALSE",1544190153.03146,1566948233.72654,1519369768.35192,"Current electricity trends"
2010,"ice_bau_f100_TRUE",1594255051.8536,1618223820.47308,1571312935.11668,"Current electricity trends"
2010,"ice_bau_f50_FALSE",1554969211.83456,1576750057.39136,1530573583.22798,"Current electricity trends"
2010,"ice_bau_f50_TRUE",1605100161.26588,1628732776.56525,1582183727.16453,"Current electricity trends"
2010,"ice_decarb_f0_FALSE",1563845683.3434,1583288375.96277,1543364775.67299,"Rapid decarbonization"
2010,"ice_decarb_f0_TRUE",1612844305.23718,1632806742.40243,1589465367.60469,"Rapid decarbonization"
2010,"ice_decarb_f100_FALSE",1542432684.10652,1565081186.07889,1517666366.76236,"Rapid decarbonization"
2010,"ice_decarb_f100_TRUE",1591388220.25352,1615104423.77394,1568494148.59205,"Rapid decarbonization"
2010,"ice_decarb_f50_FALSE",1552971011.27896,1574653888.91498,1528617287.6082,"Rapid decarbonization"
2010,"ice_decarb_f50_TRUE",1601992510.0115,1625464108.25051,1579126359.19314,"Rapid decarbonization"
2010,"lt",1566090746.57042,1585604138.2574,1545618709.31718,"Current electricity trends"
2010,"phev",1566090746.57042,1585604138.2574,1545618709.31718,"Current electricity trends"
2010,"phev_decarb",1563845683.3434,1583288375.96277,1543364775.67299,"Rapid decarbonization"
2011,"base_fleet100_ev",1546833807.04872,1567134163.23907,1524184097.63528,"Current electricity trends"
2011,"base_fleet50_ev",1563037577.19351,1586733109.62146,1534105561.12423,"Current electricity trends"
2011,"car",1579257809.05749,1597652088.32601,1555687102.76344,"Current electricity trends"
2011,"ev_bau_f0_base_FALSE",1579257809.05749,1597652088.32601,1555687102.76344,"Current electricity trends"
2011,"ev_bau_f0_base_TRUE",1617436331.48269,1637285817.21137,1592727601.01674,"Current electricity trends"
2011,"ev_bau_f0_high_fast_FALSE",1578983937.98926,1597163064.7336,1555623384.05246,"Current electricity trends"
2011,"ev_bau_f0_high_fast_TRUE",1617077364.48971,1636729126.55136,1592524838.34716,"Current electricity trends"
2011,"ev_bau_f0_high_slow_FALSE",1579242780.06077,1597606212.9959,1555684216.04176,"Current electricity trends"
2011,"ev_bau_f0_high_slow_TRUE",1617413442.91416,1637304504.76432,1592665409.88687,"Current electricity trends"
2011,"ev_bau_f0_slow_FALSE",1579279813.20935,1597645161.36798,1555741093.00742,"Current electricity trends"
2011,"ev_bau_f0_slow_TRUE",1617475406.54294,1637300859.47047,1592763173.40203,"Current electricity trends"
2011,"ev_bau_f100_base_FALSE",1572901523.11665,1596615956.47314,1546189421.30509,"Current electricity trends"
2011,"ev_bau_f100_base_TRUE",1611380179.59289,1634150802.19452,1583121345.82551,"Current electricity trends"
2011,"ev_bau_f100_high_fast_FALSE",1572551442.86071,1596061999.86617,1545882785.29344,"Current electricity trends"
2011,"ev_bau_f100_high_fast_TRUE",1610888819.28571,1634090891.11573,1582740156.74875,"Current electricity trends"
2011,"ev_bau_f100_high_slow_FALSE",1572879452.20614,1596626281.94552,1546172174.84069,"Current electricity trends"
2011,"ev_bau_f100_high_slow_TRUE",1611348139.07407,1634214184.10769,1583132390.96338,"Current electricity trends"
2011,"ev_bau_f100_slow_FALSE",1572941233.74236,1596587727.44874,1546199827.99619,"Current electricity trends"
2011,"ev_bau_f100_slow_TRUE",1611425870.33676,1634179860.36961,1583180300.8995,"Current electricity trends"
2011,"ev_bau_f50_base_FALSE",1576227345.21187,1600224885.93608,1550489137.56502,"Current electricity trends"
2011,"ev_bau_f50_base_TRUE",1614813158.56186,1635670474.1388,1585964245.42262,"Current electricity trends"
2011,"ev_bau_f50_high_fast_FALSE",1575918798.34612,1599859903.67032,1550242872.53966,"Current electricity trends"
2011,"ev_bau_f50_high_fast_TRUE",1614386749.82684,1635559152.6287,1585490152.58486,"Current electricity trends"
2011,"ev_bau_f50_high_slow_FALSE",1576206840.23009,1600140890.53223,1550511819.26855,"Current electricity trends"
2011,"ev_bau_f50_high_slow_TRUE",1614787613.34283,1635686231.23468,1585907265.43126,"Current electricity trends"
2011,"ev_bau_f50_slow_FALSE",1576248040.6231,1600247804.56965,1550538615.1828,"Current electricity trends"
2011,"ev_bau_f50_slow_TRUE",1614848468.14252,1635658274.89428,1586001878.70775,"Current electricity trends"
2011,"ev_decarb_f0_base_FALSE",1576505033.3457,1594806959.35764,1553032041.52971,"Rapid decarbonization"
2011,"ev_decarb_f0_base_TRUE",1613615767.54954,1633296694.55684,1589019597.71731,"Rapid decarbonization"
2011,"ev_decarb_f0_high_fast_FALSE",1576163222.49189,1594241965.19646,1552909791.13182,"Rapid decarbonization"
2011,"ev_decarb_f0_high_fast_TRUE",1613163995.14024,1632638872.5664,1588732767.49127,"Rapid decarbonization"
2011,"ev_decarb_f0_high_slow_FALSE",1576486116.07565,1594755764.41688,1553025421.51075,"Rapid decarbonization"
2011,"ev_decarb_f0_high_slow_TRUE",1613587329.60282,1633312156.70421,1588951727.32529,"Rapid decarbonization"
2011,"ev_decarb_f0_slow_FALSE",1576532805.24715,1594806153.99204,1553091426.71684,"Rapid decarbonization"
2011,"ev_decarb_f0_slow_TRUE",1613663669.88275,1633321534.03811,1589063803.90072,"Rapid decarbonization"
2011,"ev_decarb_f100_base_FALSE",1570314772.27373,1593906797.15715,1543688954.60258,"Rapid decarbonization"
2011,"ev_decarb_f100_base_TRUE",1607716010.82372,1630284839.69213,1579612710.57524,"Rapid decarbonization"
2011,"ev_decarb_f100_high_fast_FALSE",1569897939.64767,1593277002.16534,1543319133.13695,"Rapid decarbonization"
2011,"ev_decarb_f100_high_fast_TRUE",1607130890.8515,1630140805.00802,1579146114.41228,"Rapid decarbonization"
2011,"ev_decarb_f100_high_slow_FALSE",1570288431.04015,1593913736.83011,1543669436.36538,"Rapid decarbonization"
2011,"ev_decarb_f100_high_slow_TRUE",1607677973.06628,1630344469.41148,1579620261.44516,"Rapid decarbonization"
2011,"ev_decarb_f100_slow_FALSE",1570361234.38602,1593883340.40377,1543705319.18858,"Rapid decarbonization"
2011,"ev_decarb_f100_slow_TRUE",1607769684.62927,1630322480.41674,1579681287.84002,"Rapid decarbonization"
2011,"ev_decarb_f50_base_FALSE",1573555608.69539,1597382565.98595,1547877582.47958,"Rapid decarbonization"
2011,"ev_decarb_f50_base_TRUE",1611062680.54748,1631795378.47249,1582347912.63522,"Rapid decarbonization"
2011,"ev_decarb_f50_high_fast_FALSE",1573179318.78443,1596946620.51077,1547568691.87877,"Rapid decarbonization"
